id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
{G6V4-X4OO50BW-3929DZJE},01/02/2010 07:48:32,ANC1950,PC-4921,R:\26v1D25\DK7Y5BP6.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Much as Sir Phillip paces his study worrying about Stephen, Dame Musset's father ""pac[es] his library in the most normal of Night-Shirts"". With publicity increasing demand, sales were brisk, but the reappearance of The Well on bookstore shelves soon came to the attention of the Home Office. Inflexible opened fire at 8:20, followed almost immediately by the rest of Beatty's battlecruisers. Almost immediately afterwards Lion lost her remaining dynamo to the rising water which knocked out all remaining light and power."
{V8D4-P5YV83AT-7619XAGB},01/02/2010 07:48:42,ANC1950,PC-4921,C:\ANC1950\AIG3BQT7.pdf,File Open,False,False,"25-50-44-46-2D The show retained a similar time of broadcast for a further four episodes, before returning to around 19:00. Tate's return was controversial amongst Doctor Who fans; the criticism she received was compared to Daniel Craig after he was cast as James Bond. Alan Stanley Blair of SyFy Portal summarised it as ""a runaway Saturday morning cartoon in desperate need to a solid story"". In the final scene, Donna asks the Doctor to fly by her grandfather, Wilfred."
{H6J5-B3VY32EX-1854FXEL},01/02/2010 07:48:48,SRB2276,PC-5164,R:\SRB2276\1IDL738G.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Ethan Allen and his men eventually drifted away from Ticonderoga, especially once the alcohol began to run out, and Arnold largely controlled affairs from a base at Crown Point. In 1775 it was garrisoned by only a small detachment of the 26th Regiment of Foot, consisting of two officers and forty-six men, with many of them ""invalids"" (soldiers with limited duties because of disability or illness). No one was killed in the assault. Ashton designed the ballet specifically around Margot Fonteyn's talent and skill. All other reasonable choreographers were at the time unavailable."
{H6J3-G9MS37AS-5194HLHH},01/02/2010 07:48:55,ANC1950,PC-4921,R:\53tdGl0\WRB6GQ5E.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Krafft-Ebing believed that the most extreme inverts also exhibited reversal of secondary sex characteristics; Ellis's research had not demonstrated any such physical differences, but he devoted a great deal of study to the search for them. Lowther, like Stephen, came from an aristocratic family, adopted a masculine style of dress, and was an accomplished fencer, tennis player, motorist and jujitsu enthusiast. Miss Foster mentions that the Adipose species ""lost"" their breeding planet and hired Foster to find a replacement; she chose Earth, though knowing that using this planet was illegal. Alan Stanley Blair of SyFy Portal summarised it as ""a runaway Saturday morning cartoon in desperate need to a solid story""."
{F2T4-P1RE38CW-7275JXNV},01/02/2010 07:49:13,SRB2276,PC-5164,R:\SRB2276\F77TWLZW.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 The Bijapur Sultanate, which had risen after the demise of the Bahmani Sultanate of Bidar, soon took control of the Deccan; it was defeated by the Moghuls in the late 17th century. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest. Gadag, Chamarajanagar and Kodagu districts have a population of less than one million. The gondola was a very popular attraction, and Harvey often promoted Monte Ne as: ""the only place in America where the gondola meets the train."" Oklahoma Row was used in 1945 for lodging people who had come to visit the campers."
{D1H1-Y0FG77FW-4804WHXJ},01/02/2010 07:49:21,ANC1950,PC-4921,R:\53tdGl0\T8EHA7HS.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 Hall uses the mark of Cain, a sign of shame and exile, throughout the novel as a metaphor for the situation of inverts. In The Well of Loneliness, war work provides a publicly acceptable role for inverted women. Despite these losses, Abu Jahl was still determined to fight, boasting ""We will not go back until we have been to Badr."" The battle began with champions from both armies emerging to engage in combat."
{G8R8-I6PA85DT-7327KDWD},01/02/2010 07:49:57,SRB2276,PC-5164,R:\SRB2276\HTBOHZ86.pdf,File Open,False,True,"25-50-44-46-2D The bird is dependent on large, old eucalypts for nesting hollows, although the specific gums used vary in different parts of the country. The species is usually found in eucalyptus woodlands, or along water courses. Of all the female Overseers who served in Mauthausen, almost all of them were recruited between September and November 1944, from Austrian cities and towns. Eventually, more women and children came to Mauthausen from Ravensbruck, Bergen Belsen, Gross Rosen, and Buchenwald."
{W1E5-N2KV01NR-8204BDPR},01/02/2010 07:50:14,ANC1950,PC-4921,R:\53tdGl0\KKNYBAXM.pdf,File Copy,True,False,"25-50-44-46-2D Persuaded that she cannot give Mary happiness, Stephen pretends to have an affair with Valerie Seymour in order to drive her into Martin's arms. He ordered the book destroyed, with the defendants to pay court costs."
{S8U4-T0WL07EN-1803ENMV},01/02/2010 07:50:15,SRB2276,PC-5164,R:\8L5YQUV4.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Rowing all night, Arnold and 35 of his men brought their bateaux near the fort. As dawn approached, Allen and Arnold became fearful of losing the element of surprise, so they decided to attack with the men at hand. Allen, in the days immediately after the action, also began to work on a memoir. If you can draw a hat, then you've drawn Rorschach, you just draw kind of a shape for his face and put some black blobs on it and you're done."" In doing so, he throws humanity into political turmoil, with the Soviet Union invading Afghanistan to capitalize on the perceived American weakness."
{N6O0-K1YD66VL-9463KHNU},01/02/2010 07:50:16,ANC1950,PC-4921,R:\53tdGl0\WRB6GQ5E.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Krafft-Ebing believed that the most extreme inverts also exhibited reversal of secondary sex characteristics; Ellis's research had not demonstrated any such physical differences, but he devoted a great deal of study to the search for them. Lowther, like Stephen, came from an aristocratic family, adopted a masculine style of dress, and was an accomplished fencer, tennis player, motorist and jujitsu enthusiast. Miss Foster mentions that the Adipose species ""lost"" their breeding planet and hired Foster to find a replacement; she chose Earth, though knowing that using this planet was illegal. Alan Stanley Blair of SyFy Portal summarised it as ""a runaway Saturday morning cartoon in desperate need to a solid story""."
{V1N4-U0BD32MK-1399NHIA},01/02/2010 07:51:14,ANC1950,PC-4921,R:\26v1D25\DK7Y5BP6.doc,File Open,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Much as Sir Phillip paces his study worrying about Stephen, Dame Musset's father ""pac[es] his library in the most normal of Night-Shirts"". With publicity increasing demand, sales were brisk, but the reappearance of The Well on bookstore shelves soon came to the attention of the Home Office. Inflexible opened fire at 8:20, followed almost immediately by the rest of Beatty's battlecruisers. Almost immediately afterwards Lion lost her remaining dynamo to the rising water which knocked out all remaining light and power."
{Y2M6-B1LF50GE-1116JSEK},01/02/2010 07:51:24,SRB2276,PC-5164,R:\8L5YQUV4.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Rowing all night, Arnold and 35 of his men brought their bateaux near the fort. As dawn approached, Allen and Arnold became fearful of losing the element of surprise, so they decided to attack with the men at hand. Allen, in the days immediately after the action, also began to work on a memoir. If you can draw a hat, then you've drawn Rorschach, you just draw kind of a shape for his face and put some black blobs on it and you're done."" In doing so, he throws humanity into political turmoil, with the Soviet Union invading Afghanistan to capitalize on the perceived American weakness."
{C1T2-L4RM33JH-9780WHTR},01/02/2010 07:52:07,ANC1950,PC-4921,R:\26v1D25\DK7Y5BP6.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Much as Sir Phillip paces his study worrying about Stephen, Dame Musset's father ""pac[es] his library in the most normal of Night-Shirts"". With publicity increasing demand, sales were brisk, but the reappearance of The Well on bookstore shelves soon came to the attention of the Home Office. Inflexible opened fire at 8:20, followed almost immediately by the rest of Beatty's battlecruisers. Almost immediately afterwards Lion lost her remaining dynamo to the rising water which knocked out all remaining light and power."
{G2S7-L2CO17OR-2224IOVH},01/02/2010 07:52:35,ANC1950,PC-4921,R:\23svS11\KKNYBAXM.pdf,File Copy,True,False,"25-50-44-46-2D Stephen is wary of Valerie, however, and does not visit her salon until after the war, when Brockett persuades her that Mary is becoming too isolated. Martin Hallam, now living in Paris, rekindles his old friendship with Stephen. As a girl she hates dresses, wants to cut her hair short, and longs to be a boy."
{T6E6-Z7VG56FJ-4109CKER},01/02/2010 07:52:43,ANC1950,PC-4921,R:\ANC1950\KYZW3G1R.zip,File Write,True,False,"50-4B-03-04-14 Publicity over The Well's legal battles increased the visibility of lesbians in British and American culture. Her mother, Lady Anna, is distant, seeing Stephen as a ""blemished, unworthy, maimed reproduction"" of Sir Phillip. On 19 April, that court issued a three-paragraph decision stating that The Well's theme - a ""delicate social problem"" - did not violate the law unless written in such a way as to make it obscene. With Stephen's misgivings ""drugged"", she and Mary are drawn further into the ""desolate country"" of Paris gay life. In a study of a working class lesbian community in Buffalo, New York in the 1940s and '50s, The Well of Loneliness was the only work of lesbian literature anyone had read or heard of."
{Z5I1-Y1KD19RY-4908KUEX},01/02/2010 07:52:51,DJA0740,PC-7197,R:\36tgdN0\EUB2A01Z.pdf,File Copy,False,True,"50-4B-03-04-14 In eastern New York, the highway went through Keeseville, Ausable Chasm, and Fort Kent along what used to be the Port Kent and Hopkinton Turnpike before entering Vermont by way of the Burlington - Port Kent Ferry across Lake Champlain. The hamlet of Port Kent and the connecting road were originally built in 1823. Route 373 exists entirely within the boundaries of Adirondack Park, a protected area maintained by the State of New York. This section was turned over to the State of New York during a maintenance swap with Essex County in 1985."
{J0S7-G5EF70JX-3474SHGB},01/02/2010 07:52:53,ANC1950,PC-4921,R:\23svS11\KKNYBAXM.pdf,File Copy,False,True,"25-50-44-46-2D Stephen is wary of Valerie, however, and does not visit her salon until after the war, when Brockett persuades her that Mary is becoming too isolated. Martin Hallam, now living in Paris, rekindles his old friendship with Stephen. As a girl she hates dresses, wants to cut her hair short, and longs to be a boy."
{X7I1-S5LC26PE-4905FINY},01/02/2010 07:53:32,ANC1950,PC-4921,R:\53tdGl0\YXAU3QNL.pdf,File Write,True,False,"25-50-44-46-2D James Melville had wired the defense witnesses the night before to tell them not to come in. The play opened on 2 September 1930. The Well became the target of a campaign by James Douglas, editor of the Sunday Express newspaper, who wrote ""I would rather give a healthy boy or a healthy girl a phial of prussic acid than this novel."" He had previously sold a copy of Dreiser's An American Tragedy to a Boston police officer in order to create a censorship test case, which he had lost; he was awaiting an appeal, which he would also lose. Her defense of inversion took the form of a religious argument: God had created inverts, so humanity should accept them."
{M7D8-X7FE76AK-7207FODJ},01/02/2010 07:53:41,ANC1950,PC-4921,R:\53tdGl0\YXAU3QNL.pdf,File Delete,False,True,"25-50-44-46-2D James Melville had wired the defense witnesses the night before to tell them not to come in. The play opened on 2 September 1930. The Well became the target of a campaign by James Douglas, editor of the Sunday Express newspaper, who wrote ""I would rather give a healthy boy or a healthy girl a phial of prussic acid than this novel."" He had previously sold a copy of Dreiser's An American Tragedy to a Boston police officer in order to create a censorship test case, which he had lost; he was awaiting an appeal, which he would also lose. Her defense of inversion took the form of a religious argument: God had created inverts, so humanity should accept them."
{O8N3-C3AF38BR-2243YRGC},01/02/2010 07:54:09,ANC1950,PC-4921,R:\23svS11\KKNYBAXM.pdf,File Delete,False,True,"25-50-44-46-2D Stephen is wary of Valerie, however, and does not visit her salon until after the war, when Brockett persuades her that Mary is becoming too isolated. Martin Hallam, now living in Paris, rekindles his old friendship with Stephen. As a girl she hates dresses, wants to cut her hair short, and longs to be a boy."
{E9Q0-Y3DN99SC-5308YVBO},01/02/2010 07:54:24,ANC1950,PC-4921,R:\53tdGl0\KKNYBAXM.pdf,File Copy,False,True,"25-50-44-46-2D Persuaded that she cannot give Mary happiness, Stephen pretends to have an affair with Valerie Seymour in order to drive her into Martin's arms. He ordered the book destroyed, with the defendants to pay court costs."
{B5E5-P5IE74JR-2864WPLA},01/02/2010 07:54:35,ANC1950,PC-4921,R:\ANC1950\KYZW3G1R.zip,File Open,False,True,"50-4B-03-04-14 Publicity over The Well's legal battles increased the visibility of lesbians in British and American culture. Her mother, Lady Anna, is distant, seeing Stephen as a ""blemished, unworthy, maimed reproduction"" of Sir Phillip. On 19 April, that court issued a three-paragraph decision stating that The Well's theme - a ""delicate social problem"" - did not violate the law unless written in such a way as to make it obscene. With Stephen's misgivings ""drugged"", she and Mary are drawn further into the ""desolate country"" of Paris gay life. In a study of a working class lesbian community in Buffalo, New York in the 1940s and '50s, The Well of Loneliness was the only work of lesbian literature anyone had read or heard of."
{C0D2-G4ZQ55SH-2243WTAB},01/02/2010 07:54:53,ANC1950,PC-4921,R:\23svS11\QKP0B86C.doc,File Write,True,False,"D0-CF-11-E0-A1-B1-1A-E1 The episode is stylistically different from other Doctor Who episodes; ""Partners in Crime"" has no clear antagonist, and the creatures are in a different style to Doctor Who{'}s regular ""big [and] scary"" monsters. Catherine Tate was offered the opportunity to return as Donna Noble during lunch with executive producer Julie Gardner. The episode received many positive reviews. In Krafft-Ebing's Psychopathia Sexualis (1886), the first book Stephen finds in her father's study, inversion is described as a degenerative disorder common in families with histories of mental illness. But in a study of lesbian women in Salt Lake City in the 1920s and '30s, nearly all regretted the publication of The Well because it had drawn unwanted attention to them."
{X3F2-L4JS39QK-1724OHLG},01/02/2010 07:55:16,AKB2312,PC-0937,R:\KG9C7AD8.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 After deciding against rendering pedestrians in two dimensions, Angel Studios developed 3D pedestrian models that could run and jump out of the way. Microsoft was following up on their previous Madness computer games, Motocross Madness and Monster Truck Madness. In December 1999, Angel Studios reported that they were considering a map designer for players, but such customization never materialized. By 1971 about 180 vehicles were in service; in 1975 delivery began of the last 143 units of the final eighth batch of the original order. By the end of production, France had accepted 1,355 AMX-30s into service, including 166 brand-new AMX-30B2s."
{E9D6-S2FB30YS-0122RILL},01/02/2010 07:55:24,ANC1950,PC-4921,R:\8OXOY22O.doc,File Copy,False,True,"D0-CF-11-E0-A1-B1-1A-E1 Muhammad eventually sided with Abu Bakr, and most prisoners were spared, either because of clan relations (one was Muhammad's son-in-law), desire for ransom, or the hope that they would later convert to Islam (in fact, several later did). 'Ali alone accounted for 18 of the dead Meccans. The battle has been passed down in Islamic history as a decisive victory attributable to divine intervention, or by secular sources to the strategic genius of Muhammad. The Well's name recognition made it possible to find when bookstores and libraries did not yet have sections devoted to LGBT literature. Its role in promoting images of lesbians as ""mannish"" or cross-dressed women has also been controversial."
{Y5S6-X4GC03JM-0846SAXC},01/02/2010 07:56:24,AKB2312,PC-0937,R:\BOGTXG1C.doc,File Delete,False,True,"D0-CF-11-E0-A1-B1-1A-E1 The demo also included features that would be scrapped in the full version, such as the ability to send billboards flying. Midtown Madness features four single-player modes: Blitz, Circuit, Checkpoint, and Cruise. PC Zone praised the in-game radio system, and the support for external media players. Halper, a former limited partner of the New York Yankees with George Steinbrenner in the 1970s and a renowned sports memorabilia collector, sold the card and 200 other baseball memorabilia items in 1998 to Major League Baseball for over $5,000,000. In May 2008, a graded 1 set a new record for such a low-grade card, selling at $317,250 at auction."
